model_key,hf_id,family,params_b,tuning,tier,item_id,word,target,distractor,conflict_type,relation,prompt_style,score_mode,conflict_score,neutral_mean,neutral_std,stroop_effect,answer_prior_target_minus_distractor_sum,lexical_target_minus_distractor_sum,answer_prior_target_minus_distractor_mean,lexical_target_minus_distractor_mean,lexical_distractor_advantage_sum,lexical_distractor_advantage_mean,word_zipf,target_zipf,distractor_zipf,target_minus_distractor_zipf,word_n_tokens,target_n_tokens,distractor_n_tokens,target_minus_distractor_tokens,is_single_token_pair
gemma2_9b_instruct,google/gemma-2-9b-it,Gemma,9.0,instruct,large_7b9b,0,small,big,tiny,antonym_remapping,synonym,definition_scope,sum_logprob,12.859375,11.687500158945719,0.860595516123738,-1.1718748410542812,2.5625,-7.37109375,2.5625,-7.37109375,7.37109375,7.37109375,5.51,5.67,4.62,1.0499999999999998,1,1,1,0,True
gemma2_9b_instruct,google/gemma-2-9b-it,Gemma,9.0,instruct,large_7b9b,0,small,big,tiny,antonym_remapping,synonym,definition_scope,mean_logprob,12.859375,11.687500158945719,0.860595516123738,-1.1718748410542812,2.5625,-7.37109375,2.5625,-7.37109375,7.37109375,7.37109375,5.51,5.67,4.62,1.0499999999999998,1,1,1,0,True
gemma2_9b_instruct,google/gemma-2-9b-it,Gemma,9.0,instruct,large_7b9b,0,small,big,tiny,antonym_remapping,synonym,game_rule,sum_logprob,15.906248092651367,29.739583333333332,2.9544508674017513,13.833335240681965,2.5625,-7.37109375,2.5625,-7.37109375,7.37109375,7.37109375,5.51,5.67,4.62,1.0499999999999998,1,1,1,0,True
gemma2_9b_instruct,google/gemma-2-9b-it,Gemma,9.0,instruct,large_7b9b,0,small,big,tiny,antonym_remapping,synonym,game_rule,mean_logprob,15.906248092651367,29.739583333333332,2.9544508674017513,13.833335240681965,2.5625,-7.37109375,2.5625,-7.37109375,7.37109375,7.37109375,5.51,5.67,4.62,1.0499999999999998,1,1,1,0,True
gemma2_9b_instruct,google/gemma-2-9b-it,Gemma,9.0,instruct,large_7b9b,0,small,big,tiny,antonym_remapping,synonym,glossary,sum_logprob,21.656249523162842,20.427083094914753,0.6170326843530431,-1.2291664282480887,2.5625,-7.37109375,2.5625,-7.37109375,7.37109375,7.37109375,5.51,5.67,4.62,1.0499999999999998,1,1,1,0,True
gemma2_9b_instruct,google/gemma-2-9b-it,Gemma,9.0,instruct,large_7b9b,0,small,big,tiny,antonym_remapping,synonym,glossary,mean_logprob,21.656249523162842,20.427083094914753,0.6170326843530431,-1.2291664282480887,2.5625,-7.37109375,2.5625,-7.37109375,7.37109375,7.37109375,5.51,5.67,4.62,1.0499999999999998,1,1,1,0,True
gemma2_9b_instruct,google/gemma-2-9b-it,Gemma,9.0,instruct,large_7b9b,0,small,big,tiny,antonym_remapping,synonym,technical_document,sum_logprob,17.1953125,10.96875,1.9093211402102885,-6.2265625,2.5625,-7.37109375,2.5625,-7.37109375,7.37109375,7.37109375,5.51,5.67,4.62,1.0499999999999998,1,1,1,0,True
gemma2_9b_instruct,google/gemma-2-9b-it,Gemma,9.0,instruct,large_7b9b,0,small,big,tiny,antonym_remapping,synonym,technical_document,mean_logprob,17.1953125,10.96875,1.9093211402102885,-6.2265625,2.5625,-7.37109375,2.5625,-7.37109375,7.37109375,7.37109375,5.51,5.67,4.62,1.0499999999999998,1,1,1,0,True
gemma2_9b_instruct,google/gemma-2-9b-it,Gemma,9.0,instruct,large_7b9b,1,large,small,big,antonym_remapping,synonym,definition_scope,sum_logprob,7.0234375,7.516276041666667,1.4955753766340265,0.49283854166666696,-4.3125,-11.96875,-4.3125,-11.96875,11.96875,11.96875,5.39,5.51,5.67,-0.16000000000000014,1,1,1,0,True
gemma2_9b_instruct,google/gemma-2-9b-it,Gemma,9.0,instruct,large_7b9b,1,large,small,big,antonym_remapping,synonym,definition_scope,mean_logprob,7.0234375,7.516276041666667,1.4955753766340265,0.49283854166666696,-4.3125,-11.96875,-4.3125,-11.96875,11.96875,11.96875,5.39,5.51,5.67,-0.16000000000000014,1,1,1,0,True
gemma2_9b_instruct,google/gemma-2-9b-it,Gemma,9.0,instruct,large_7b9b,1,large,small,big,antonym_remapping,synonym,game_rule,sum_logprob,24.937500953674316,17.99881951014201,3.487111992803681,-6.938681443532307,-4.3125,-11.96875,-4.3125,-11.96875,11.96875,11.96875,5.39,5.51,5.67,-0.16000000000000014,1,1,1,0,True
gemma2_9b_instruct,google/gemma-2-9b-it,Gemma,9.0,instruct,large_7b9b,1,large,small,big,antonym_remapping,synonym,game_rule,mean_logprob,24.937500953674316,17.99881951014201,3.487111992803681,-6.938681443532307,-4.3125,-11.96875,-4.3125,-11.96875,11.96875,11.96875,5.39,5.51,5.67,-0.16000000000000014,1,1,1,0,True
gemma2_9b_instruct,google/gemma-2-9b-it,Gemma,9.0,instruct,large_7b9b,1,large,small,big,antonym_remapping,synonym,glossary,sum_logprob,19.156250476837158,18.527994950612385,1.259374993847431,-0.6282555262247733,-4.3125,-11.96875,-4.3125,-11.96875,11.96875,11.96875,5.39,5.51,5.67,-0.16000000000000014,1,1,1,0,True
gemma2_9b_instruct,google/gemma-2-9b-it,Gemma,9.0,instruct,large_7b9b,1,large,small,big,antonym_remapping,synonym,glossary,mean_logprob,19.156250476837158,18.527994950612385,1.259374993847431,-0.6282555262247733,-4.3125,-11.96875,-4.3125,-11.96875,11.96875,11.96875,5.39,5.51,5.67,-0.16000000000000014,1,1,1,0,True
gemma2_9b_instruct,google/gemma-2-9b-it,Gemma,9.0,instruct,large_7b9b,1,large,small,big,antonym_remapping,synonym,technical_document,sum_logprob,15.96875,10.18359343210856,2.0208311534818,-5.785156567891439,-4.3125,-11.96875,-4.3125,-11.96875,11.96875,11.96875,5.39,5.51,5.67,-0.16000000000000014,1,1,1,0,True
